product_id,brand,price,category,rating,image_url,product_url
B09HZBKY2N,Adidas AG,101.05,New season,4.2,https://m.media-amazon.com/images/I/71PjZKb6ecL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09HZBKY2N
B0D3HZKKSQ,Skechers,87.05,New season,4.7,https://m.media-amazon.com/images/I/71Nhn3cApIL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D3HZKKSQ
B07192Q1M4,JanSport,246.14,New season,4.8,https://m.media-amazon.com/images/I/71BLtkFDHHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07192Q1M4
B09FM712XW,JanSport,149.0,New season,4.6,https://m.media-amazon.com/images/I/51CojOMXJcL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09FM712XW
B093LSFC4C,Under Armour,119.0,New season,4.7,https://m.media-amazon.com/images/I/71Ljc4+Qw8L._AC_UL320_.jpg,https://www.amazon.ae/dp/B093LSFC4C
B001VG4RYM,Calvin Klein,186.76,New season,4.4,https://m.media-amazon.com/images/I/71KEFmu9L3L._AC_UL320_.jpg,https://www.amazon.ae/dp/B001VG4RYM
B08KSL6LPT,JanSport,181.0,New season,4.7,https://m.media-amazon.com/images/I/61+L3zeARRL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08KSL6LPT
B0CMCXFXLP,PUMA,98.0,New season,4.4,https://m.media-amazon.com/images/I/71rMA6ELwNL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CMCXFXLP
B0B31MRXG7,Adidas AG,119.0,New season,4.5,https://m.media-amazon.com/images/I/510y-Jyr4RL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B31MRXG7
B011V51LSW,PUMA,40.16,New season,3.9,https://m.media-amazon.com/images/I/41yjsNb0X4L._AC_UL320_.jpg,https://www.amazon.ae/dp/B011V51LSW
B0BYVVXHRH,Liberty Records,46.63,New season,3.7,https://m.media-amazon.com/images/I/61WvRZHLdEL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BYVVXHRH
B0CBTNB6JY,Aoliks,29.99,New season,4.4,https://m.media-amazon.com/images/I/71M8BSws-AL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CBTNB6JY
